Wall time,Step,Value
1732799570.4109912,52637,0.019709473475813866
1732799615.064617,53637,0.0022177277132868767
1732799659.376617,54637,0.0012344493297860026
1732799703.711627,55637,0.0007803337648510933
1732799748.719724,56637,0.0005365327233448625
1732799793.581527,57637,0.0003438165585976094
1732799838.495968,58637,0.00024399343237746507
1732799883.787445,59637,0.00019273682846687734
1732799929.193917,60637,0.0001537968491902575
1732799974.514698,61637,0.00012608278484549373
1732800018.938414,62637,0.0001098435022868216
1732800062.690034,63637,9.420860442332923e-05
1732800107.949742,64637,9.235984907718375e-05
1732800152.141408,65637,7.83732466516085e-05
1732800196.124427,66637,6.515721906907856e-05
1732800240.217697,67637,7.864447979955003e-05
1732800283.8494852,68637,6.723699334543198e-05
1732800328.2017322,69637,5.3392119298223406e-05
1732800373.055722,70637,5.066073572379537e-05
1732800418.9230359,71637,4.737903145723976e-05
1732800464.7113879,72637,9.061162563739344e-05
1732800510.711036,73637,4.475091554922983e-05
1732800555.792181,74637,4.6631314035039395e-05
1732800601.22619,75637,4.1838724428089336e-05
1732800646.79543,76637,4.094762334716506e-05
1732800692.099366,77637,3.720568201970309e-05
1732800739.377884,78637,6.069496521377005e-05
1732800789.025111,79637,4.063240339746699e-05
1732800835.13309,80637,4.2100677092093974e-05
1732800882.1749408,81637,3.8338468584697694e-05
1732800928.320344,82637,3.6710393032990396e-05
1732800975.740078,83637,4.155734495725483e-05
1732801022.815017,84637,3.4391072404105216e-05
1732801069.934937,85637,6.14072268945165e-05
1732801116.568148,86637,3.205094617442228e-05
1732801163.434557,87637,3.4723088901955634e-05
1732801210.42968,88637,4.016737875645049e-05
1732801257.157562,89637,3.397741602384485e-05
1732801304.045519,90637,4.791663741343655e-05
1732801351.04207,91637,3.451192969805561e-05
1732801397.935654,92637,3.333165659569204e-05
1732801444.797527,93637,3.1632385798729956e-05
1732801492.301696,94637,3.0612514819949865e-05
1732801539.8168,95637,3.1038998713484034e-05
1732801587.582994,96637,2.9864786483813077e-05
1732801635.108054,97637,3.2660453143762425e-05
1732801682.23223,98637,2.8871370886918157e-05
1732801728.7184892,99637,3.8117446820251644e-05
1732801776.35701,100637,3.134263533866033e-05
1732801823.366604,101637,2.878450686694123e-05
1732801870.730637,102637,3.0654093279736117e-05
1732802010.0892448,104274,3.118471067864448e-05
1732802057.654801,105274,2.8714395739370957e-05
1732802104.527914,106274,3.463501707301475e-05
1732802151.755914,107274,2.7016842068405822e-05
1732802199.456633,108274,2.7741631129174493e-05
1732802246.2730381,109274,2.6266945496900007e-05
1732802293.738445,110274,2.3566421077703126e-05
1732802341.608554,111274,2.7828107704408467e-05
1732802389.436996,112274,2.3559563487651758e-05
1732802437.393737,113274,2.9752680347883143e-05
1732802485.839461,114274,2.44293605646817e-05
1732802533.108583,115274,2.4565249987062998e-05
1732802580.677997,116274,2.6977988454746082e-05
1732802628.345194,117274,2.485675213392824e-05
1732802675.912365,118274,2.7443755243439227e-05
1732802722.600362,119274,2.3320524633163586e-05
1732802770.191434,120274,2.0137942556175403e-05
1732802816.855783,121274,2.2191941752680577e-05
1732802863.824679,122274,2.3298489395529032e-05
1732802910.810435,123274,2.2408299628295936e-05
1732802958.354317,124274,2.280835724377539e-05
1732803005.244441,125274,3.3980904845520854e-05
1732803052.863206,126274,2.38962093135342e-05
1732803100.607417,127274,2.0743891582242213e-05
1732803147.916032,128274,1.946184056578204e-05
1732803195.012649,129274,2.0099885659874417e-05
1732803242.5162969,130274,2.1386367734521627e-05
1732803289.8631492,131274,2.0590861822711304e-05
1732803337.6190588,132274,1.770061680872459e-05
1732803385.568753,133274,1.8498323697713204e-05
1732803433.0987048,134274,2.5719933546497487e-05
1732803480.7644851,135274,2.7604883143794723e-05
1732803528.503989,136274,1.936138141900301e-05
1732803575.987456,137274,1.86433953786036e-05
1732803623.592774,138274,2.682012927834876e-05
1732803670.972791,139274,1.894346314657014e-05
1732803719.3630888,140274,1.7645086700213142e-05
1732803767.7083101,141274,1.8500457372283563e-05
1732803815.7405272,142274,2.2411571990232915e-05
1732803862.994258,143274,1.867685205070302e-05
1732803909.801225,144274,2.1790454411529936e-05
1732803956.731112,145274,2.413635047560092e-05
1732804004.7800279,146274,1.972418431250844e-05
1732804052.437189,147274,1.7654085240792483e-05
1732804099.671,148274,1.7932603441295214e-05
1732804148.012189,149274,1.9929346308344975e-05
1732804195.533921,150274,2.210696038673632e-05
1732804242.938004,151274,1.6386642528232187e-05
1732804290.8117492,152274,1.751857780618593e-05
1732804337.676345,153274,1.8630089471116662e-05
1732804385.50433,154274,3.118279710179195e-05
1732804522.430495,155911,1.68216138263233e-05
1732804570.3139892,156911,1.635064836591482e-05
1732804617.735143,157911,1.819679164327681e-05
1732804665.395762,158911,1.6134174074977636e-05
1732804713.699069,159911,2.4493183445883915e-05
1732804761.7672992,160911,1.7988257241086103e-05
1732804809.359421,161911,1.67620037245797e-05
1732804857.154606,162911,1.5726258425274864e-05
1732804904.584904,163911,1.8273814930580556e-05
1732804951.952414,164911,2.003221925406251e-05
1732804998.765142,165911,1.7142643628176302e-05
1732805045.104269,166911,1.6116782717290334e-05
1732805091.504939,167911,2.709195359784644e-05
1732805138.474679,168911,1.7568680050317198e-05
1732805185.22738,169911,1.7032922187354416e-05
1732805231.200146,170911,1.7516626030555926e-05
1732805278.022293,171911,1.6287998732877895e-05
1732805324.219616,172911,1.6562393284402788e-05
1732805371.1441028,173911,1.4789107808610424e-05
1732805418.5824718,174911,1.7709166058921255e-05
1732805465.955533,175911,1.561356839374639e-05
1732805509.886186,176911,1.4847706552245654e-05
1732805555.0643551,177911,1.9732127839233726e-05
1732805597.803668,178911,2.1152785848244093e-05
1732805638.110383,179911,3.702534013427794e-05
1732805678.8794181,180911,1.8817851014318876e-05
1732805719.829925,181911,1.761073144734837e-05
1732805761.81689,182911,1.768316542438697e-05
1732805803.836015,183911,1.6381256500608288e-05
1732805845.734379,184911,2.1389434550656006e-05
1732805887.6562219,185911,2.1428497348097153e-05
1732805929.70513,186911,1.749021976138465e-05
1732805974.790882,187911,1.561005410621874e-05
1732806018.968561,188911,1.5762867406010628e-05
1732806060.256926,189911,1.693038211669773e-05
1732806102.319485,190911,2.235888496215921e-05
1732806147.4082701,191911,2.1376816221163608e-05
1732806191.637536,192911,1.639790934859775e-05
1732806236.117852,193911,1.6002206393750384e-05
1732806277.960875,194911,1.5367349988082424e-05
1732806320.0753322,195911,1.5191574675554875e-05
1732806364.538678,196911,1.4349585399031639e-05
1732806408.81202,197911,1.9330611394252628e-05
1732806453.235412,198911,2.01104958250653e-05
1732806497.143989,199911,1.480943501519505e-05
1732806541.595603,200911,1.4406505215447396e-05
1732806586.3224509,201911,1.9372555470908992e-05
1732806630.570125,202911,1.6187543224077672e-05
1732806674.463905,203911,1.733545468596276e-05
1732806719.02093,204911,1.6493142538820393e-05
1732806764.069026,205911,1.6983485693344846e-05
1732806894.8652768,207548,1.4107574315858074e-05
1732806939.110486,208548,1.4311353879747912e-05
1732806983.801205,209548,1.8917073248303495e-05
1732807027.85135,210548,1.4800010831095278e-05
